code,ham/spam,message,
1,ham,"Dear consumer, your order :OS22010720112401573357 of 18(MT) has been successfully delivered on 24-11-20 at 07:42:51 PM",
1,ham,"Dear Customer, Acct XX680 is credited with Rs 1000.00 on 10-Dec-21 from MAHESH ISHWARCHAND JAIN. UPI:134462789303-ICICI Bank.",
1,ham,"Dear Customer, ICICI Bank Acct XX680 debited with INR 20,000.00 on 02-Nov-21. Info: ATM*SFCPT324*. The Available Balance is INR 18,535.90. Call 18002662 for dispute or SMS BLOCK 680 to 9215676766",
1,spam,"Dear Customer, In this panic of COVID 19, worried about how to get assistance for your hearing care? Keep away all those worries, get delighted with a chance of checking your hearing from the comfort of your home. Download the app now: https://bit.ly/3ffDa3Y or Call us on 9659455455.",
1,ham,"Dear Customer, your ICICI Bank Account XX680 has been credited with INR 7,500.00 on 08-Dec-21. Info:BY CASH -KOLKATA AJC BOSE RD. The Available Balance is INR 67,571.34.",
1,spam,"Dear Customer,Get Rs. 65,50,000/- directly in your account under MSME Festive loan Scheme without any documents.Get Money in 24 Hours 7kb.in/gtY/6Bw0rk8",
1,spam,"dear Customer,Rs. 24,999/- can be Credited to Your Bank A/c on Successful Verification.Submit Details 7kb.in/SSh/jx6sGNS",
1,ham,"Dear FAUXXXXX0B,Your traded value for 03-DEC-21 CM Rs 28897.65 Check your registered email. For details contact broker -National Stock Exchange.",
1,ham,"Dear FAUXXXXX0B,Your traded value for 04-OCT-21 CM Rs 5502.89 Check your registered email. For details contact broker -National Stock Exchange.",
1,ham,"Dear GO FIRST Flyer, we are delighted to confirm your booking. Your PNR is O6FKQS for your flight G8 - 315 departing on 14 Dec at 1800 hrs from COK(Terminal 1) to HYD. Pls report 2 hrs(Domestic Travel), 3 hrs(International Travel) prior to departure for check-in.",
1,spam,"Dear Patrons, Don't lock your Hearing Care during this lockdown. Hearing Solutions, is with you and will take care of all your Hearing Needs, our Clinics are Open from 7:30am to 1:30pm. Our Hear Zap App is one ﬁnger tip away from you. Home Visit Team is also available on appointment. For more info contact 9533155155 or visit https://bit.ly/2ZuviEg.",
1,spam,"Dear Patrons, Don't lock your Hearing Care during this lockdown. Hearing Solutions, is with you and will take care of all your Hearing Needs, our Clinics are Open from 8:30am to 5:30pm. Our Hear Zap App is one ﬁnger tip away from you. Home Visit Team is also available on appointment. For more info contact 9533155155 or visit https://bit.ly/2ZuviEg.",
1,spam,"Dear Patrons, Don't lock your Hearing Care during this lockdown.. Hearing Solutions, is with you and will take care of all your Hearing Needs, our Clinics are Open from 7:30 am To 11:30 Am. Our Hear Zap App is one ﬁnger tip away from you. Home Visit Team is also available on appointment. For more info contact 9533155155 or visit https://bit.ly/2ZuviEg.",
1,spam,"Dear Patrons, Hearing Solutions is now offering Mega Discounts on Philips Hearing Aids. Avail Free Hearing Test, Free Hearing Aid Trial & 0% Interest Free Easy EMI options at all our clinics. For Appointment contact 9533155155 or login to https://bit.ly/2ZuviEg. Download Our HearZap App Now https://bit.ly/3ffDa3Y. T&C Apply.",
1,spam,"Double The Steals! Get Credit Up to Rs.70,000 + FLAT Rs 100 Off* on orders above Rs.500 with Flipkart Pay Later. Activate Now http://fkrt.it/ZyOioquuuN",
1,spam,Enjoy Jio Maha Cashback at the AJIO Big Bold Sale. Get 50-90% OFF* on the best global brands. Sale ends Dec 19. Hurry! Shop Now: https://bit.ly/3rQORpW,
1,spam,"Flat Rs.222 Off + Free Shipping for you Valid on your fave Kurtas, Tshirts & more Ends at midnight | Min. Spend: Rs.999 | Hurry http://smsd.in/VZUg8yWp",
1,spam,Get up to 5 Lakhs credit at 0% interest. Apply for Dhani One Freedom card now http://1kx.in/aMwvuq,
1,spam,"Get upto 90% scholarship for UPSC Preparation. To claim it, take the BYJU'S National Scholarship Test on 28 Nov 2021. Register NOW! bit.ly/3CXRsjv",
1,spam,"Good News!! INR 50,000.00 in account xxxx9467 within 5 mins. Check Now : tx7.me/68vskc",
1,spam,"Happy Brithday It's my Birthday and I am offering you J0B in my company you can earn up to 10,000 Rs/day click wa.me/919394910970 - VISHWA VANI",
1,spam,"HDFC Bank Festive Treats! Upto 27.5%CashBack+Rs.750 voucher. Shop for TV,Appliances,Furniture etc with EasyEMI on Debit Card xx6180. hdfcbk.io/W7J4EZ2YPJSI T&C",
1,spam,"Hearing Problem ? Get FREE Hearing Test & Philips Aid Trial at your nearest HEARING SOLUTIONS Clinic with 0% Interest & Easy EMI. For appt. call 9533155155, login to https://bit.ly/2ZuviEg. Download Our HearZap App at https://bit.ly/3ffDa3Y. T&C Apply.",
1,ham,Hello! The balance in your Axis Bank a/c no 18173702 as on 06-06-2020 is Rs 98105.69,
1,ham,Hello! The balance in your Axis Bank a/c no 18173702 as on 11-06-2020 is Rs 7001.69,
1,spam,"Hi 82472201XX #DreamDifferent Credit Card Open a Kotak 811 Zero-Balance A/c,",
1,spam,HI 82472201XX Open a Zero Balance A/c with Kotak 811. Great discounts & offers,
1,spam,"Hi Bhanu, Data Entry Operator - Paytm job at Dynamic Synergy [p] Ltd has now been closed on Waah Jobs. You can apply to similar jobs here: https://aj4. co/2W4c6dsdwviwaKRf6",
1,ham,"Hi Karpurapu Rahul, greetings from Paytm! Your ticket details are sent to k....9@g....l.com Here are your booking details PNR: Onward:O6FKQS Airline: Onward:G8 Route: Onward:COK-HYD Passengers: Mr. Karpurapu Rahul Travel Date;Onward:14/12/21 
 Departure Time: Onward: 18:00 
 Arrival Time: Onward: 19:30 
 Please check your Paytm app or registered email address for complete ticket details. For assistance, click on https://paytm.com/care",
1,spam,Hurry! Sale Ends TonightAppliances for HomeUp to 70% Off Shop at Flipkart's Big Bachat Sale Now: http://fkrt.it/nt3Q6MNNN,
1,ham,IMPORTANT: Beware of the fraudulent messages asking to you call any number for verification/download any app to update your KYC/Aadhaar details. Jio never asks you to download any third party app for such activities. Please stay alert from such SMS/calls as this may result in financial loss. Stay safe. Team Jio,
1,spam,IND vs PAK - bas naam hi kaaﬁ hai. Aaj hai saal ka most awaited muqabla. Today's,
1,ham,Just now you have obtained MINI statement at ATM DWRO58506. Know your last 3 transactions by calling 1800 419 6969 for free.,
1,spam,"Karpurapu, HDFC Bank Debit Card xx6180=EMI Card! Shop Electronics|Education|Furniture etc. via EasyEMI. No Cost EMI available. hdfcbk.io/TB5ZEZ2YPJd9 T&C",
1,spam,khelega? Judo live action se aur jeeto rewards hamare sath go.fun8x.com/bf2a,
1,spam,Kotak 811 instantly Click http://1kx.in/Dh1FlBYcWWo *T&CA,
1,spam,Lenskart is extending your exclusive benefit! Get 1000 off on eyewear worth 3500. Use code:LNS7-8TA1KW. Buy1 Get1. TnC App: lskt.me/g4 Store: lskt.me/k4,
1,spam,Namaste!Your vehicle insurance is due! Renew to get 80% cashback. Click here 7kb.in/FXR/1bmV3t0,
1,spam,On the Event of this FATHER's DAY TWILLS announces a Wide & Exclusive range at FLAT 20% OFF only on 19&20 June . Rush to your nearest TWILLS Store. T&C Apply,
1,spam,"One-stop many doorways to hear better. You can visit us at your nearest experience store or we can visit you at home. Hearzap - Experience the finest Hearing Care. Now in Bengaluru! Increasing volumes isn't going to help, Hearzap can. Download the Hearzap app now - https://bit.ly/3ffDa3Y For an Appointment, Dial us at 9659455455 ö Visit https://bit.ly/3rLA6o9 Your choice, our service.",
1,spam,"One-stop many doorways to hear better. You can visit us at your nearest experience store or we can visit you at home. Hearzap - Experience the ﬁnest Hearing Care.
 Now in Bengaluru! Increasing volumes isn't going to help, Hearzap can. Download the Hearzap app now - https://bit.ly/3ffDa3Y For an Appointment, Dial us at 9659455455 ö Visit https://bit.ly/3rLA6o9 Your choice, our service.",
1,ham,Pulkit Chhabra will be live at 04:00 PM for the course 'Course on Recursion and Dyn ' https://uncd.me/p/CqHrD3,
1,ham,Pulkit Chhabra will be live at 06:00 PM for the course 'Course on Recursion and Dyn ' https://uncd.me/p/CqHrD3,
1,spam,"Rahul, check out this Black Friday Sale offer Buy 1 item & get an extra sweatshirt for Rs.49 Explore now with Free Shipping http://smsd.in/bsRSCva0c",
1,spam,"Rahul, the End Of Reason Sale is coming soon!Get 50-80% Off from 18-23 Dec | Wishlist nowTap here to start your fashion journey http://smsd.in/btBsNQeTQ",
1,ham,Raja vikramaditya Panda will be live at 02:00 PM for the course 'Preparatory Course on Compe ' https://uncd.me/p/BT8LvU,
1,spam,"Redeem Rs.500 TRENDS 'Discount Coupon' till December 15, only on AJIO. Use Code FESTIVE2021 and shop from the safety of your home @ https://bit.ly/3E3VSXA T&C",
1,spam,"Redeem Rs.500 TRENDS 'Discount Coupon' till December 15, only on AJIO. Use Code FESTIVE2021 and shop from the safety of your home @ https://bit.ly/3y1aJ2M T&C",
1,spam,"Redeem Rs.500 TRENDS 'Discount Coupon' till November 30, only on AJIO. Use Code FESTIVE2021 and shop from the safety of your home @ https://bit.ly/3krb4X2 T&C.",
1,spam,"Redeem Rs.500 TRENDS 'Discount Coupon' till November 30, only on AJIO. Use Code FESTIVE2021 and shop from the safety of your home @ https://bit.ly/3olC6Aa T&C",
1,ham,Rs.160 transferred from A/c ...0129 to:UPI/13400992500. Total Bal:Rs.121858.42CR. Avlbl Amt:Rs.121858.42(06-12-2021 14:18:28) - Bank of Baroda,
1,ham,Rs.40 transferred from A/c ...0129 to:UPI/13446102718. Total Bal:Rs.121723.42CR. Avlbl Amt:Rs.121723.42(10-12-2021 11:11:35) - Bank of Baroda,
1,ham,Rs.65 transferred from A/c ...0129 to:UPI/13434482402. Total Bal:Rs.121763.42CR. Avlbl Amt:Rs.121763.42(09-12-2021 13:09:21) - Bank of Baroda,
1,spam,"SALE ON! CRAVE ON! Thanksgiving ON! Get a Guaranteed Discount on Hearing Aids At your nearest HEARING SOLUTIONS Clinic. Offer Valid till 27th Nov 2021. For an appointment, call 9533155155 or Visit https://bit.ly/2ZuviEg. Download HearZap App https://bit.ly/3ffDa3Y. T&C Apply",
1,spam,"SALE ON! CRAVE ON! Thanksgiving ON! Get a Guaranteed Discount on Hearing Aids At your nearest HEARING SOLUTIONS Clinic. Offer Valid till 27th Nov 2021. For an appointment, call 9533155155 or Visit https://bit.ly/2ZuviEg. Download HearZap App https://bit.ly/3ffDa3Y. T&C Apply.",
1,ham,Sanket Singh will be live at 05:00 PM for the course 'Course on Segment and Fenwi ' https://uncd.me/p/03zVNi,
1,ham,Sanket Singh will be live at 08:00 PM for the course 'Course on Graph Algorithms.' https://uncd.me/p/pB47Uw,
1,ham,Sanket Singh will be live at 08:00 PM for the course 'Course on Number Theory.' https://uncd.me/p/XHTuyR,
1,ham,"Sanket Singh will be live at 08:30 PM for the course 'Course on Sorting and Searc '
 https://uncd.me/p/ydfRRw",
1,ham,Sanket Singh will be live at 11:00 AM for the course 'Course on Number Theory.' https://uncd.me/p/XHTuyR,
1,ham,Sanket Singh will be live at 12:01 PM for the course 'Course on Tries & Sparse Table.' https://uncd.me/p/xRD6yG,
1,ham,"Sanket Singh will be live at 12:30 PM for the course 'Course on Full Stack Web De '
 https://uncd.me/p/DPDz3u",
1,ham,"Sanket Singh will be live at 12:30 PM for the course 'Course on Sorting and Searc '
 https://uncd.me/p/ydfRRw",
1,ham,Sonia Motwani will be live at 02:30 PM for the course 'Course on Operating System.' https://uncd.me/p/xGQNB5,
1,spam,special offers lo aur jeeto big cash India ke sath - https://go.fun8x.com/bf2a,
1,ham,"Sumit Jha will be live at 07:30 PM for the course 'Course on JavaScript - Conc '
 https://uncd.me/p/UMj9u7",
1,spam,"Sunday surprise for you, Bhanu! Rs.500 credited + Flat Rs.400 Off + Free Shipping Order @ Payday Sale | Ends at midnight http://smsd.in/TGLQ4VGl",
1,ham,Suransh Chopra will be live at 07:00 PM for the course 'Course on Basic Data Struct ' https://uncd.me/p/rvXuAS,
1,spam,T&C http://1kx.in/DrrQ5efHOS4,
1,spam,T20 World Cup super interesting ho gaya hai. Kaun hogi best team? India kaisa,
1,ham,"Thank you for activating Axis Mobile. Your current transaction limit is Rs. 30,000. You can increase it to a maximum limit of 20 Lakhs after 5 days.",
1,ham,to close the trip for successfully delivering the sand to your doorstep.,
1,spam,TRENDS to take home from the AJIO Black Friday Sale: Bag 'em all at Up To 70% Off. HURRY! No time to waste.Styles selling fast. Shop now:https://bit.ly/3HTlmJy,
1,ham,Triveni Mahatha will be live at 02:00 PM for the course 'Course on Basic Data Struct ' https://uncd.me/p/aH7t8b,
1,spam,Twills Super Season Sale ! Buy2@999 on selected merchandise @ all Twills Exclusive Stores. Visit ur nearest Twills store Now!. bit.ly/3hcvjGA,
1,spam,Twills Super Season Sale ! Enjoy Discounts of UPTO 50% OFF on selected merchandise @ all Twills Exclusive Stores. Visit ur nearest TWILLS store. bit.ly/3j3BZZ9,
1,ham,Use verification code 464770 for Microsoft authentication,
1,ham,"Vishwa Mohan will be live at 07:00 PM for the course 'Course on Creating RestFul '
 https://uncd.me/p/oYQjRT",
1,ham,Vishwa Mohan will be live at 07:01 PM for the course 'Course on High Level System ' https://uncd.me/p/HJHhFW,
1,spam,"Want Rs.500, Bhanu? Click here to claim it Also, get Flat Rs.500 Off + 1-month Free Shipping Use 'em @ End Of Reason Sale http://smsd.in/UOt1OxV7",
1,spam,"Watch BYJU'S Exam Prep Experts LIVE as they do an in-depth analysis of CAT 2021 (VARC) Slots 1, 2 & 3. Join us on 10 Dec at 11am, 2pm & 5pm here",
1,ham,"Welcome to Jio-Kerala . Kindly enable Data Roaming to use data services. 4G Data, Voice & SMS benefits will be as per your plan.",
1,spam,Why study something that you're uninterested in? Find the perfect university for your profile with our experts now : https://bit.ly/3AAjfp0 -Yocket,
1,spam,"Write ANTHE for a chance to win a trip to NASA. Also, get up to 100% scholarship. Register for free. byju.me/ANTHE-C10 - Aakash BYJU'S",
1,ham,Your A/c 070911 is credited with Rs. 1 on 09Oct20. Avbl Bal: Rs. 24890.04. Info: UPI/P2A/028312980598/SAMINENI /State Ban,
1,ham,Your A/c 070911 is credited with Rs. 1600 on 08Oct20. Avbl Bal: Rs. 18889.04. Info: UPI/P2A/028283131093/KOLAGANI /Axis Bank,
1,ham,Your A/c 070911 is credited with Rs. 6000 on 08Oct20. Avbl Bal: Rs. 24889.04. Info: MOB/TPFT/TUKKISETTY VENK/555010100070197,
1,ham,"Your A/c 070911 is debited by Rs. 2746.48 on 07Oct20. Avbl Bal: Rs. 17289.04. Info: MOB/CCPMT/P2GVHKSK0337/533467XXXXXX3747/. Call 18605005555 for
 dispute.",
1,ham,Your A/c 070911 is debited with Rs 10000.00 on 09-10-2020 10:45:48 A/c Bal:Rs 14890.04 Info: CASH-ATM/CWCW58503/4946.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 070911 is debited with Rs 20000.00 on 15-10-2020 07:32:04 A/c Bal:Rs 34891.04 Info: CASH-ATM/CWCW58503/5383.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 070911 is debited with Rs 20000.00 on 15-10-2020 07:33:50 A/c Bal:Rs 14891.04 Info: CASH-ATM/CWCW58503/5384.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is credited with Rs. 1900 on 09Jun20. Avbl Bal: Rs. 9396.69. Info: UPI/P2A/016110718016/PINNAMARA/Canara Ba,
1,ham,Your A/c 173702 is credited with Rs. 200 on 06Jun20. Avbl Bal: Rs. 38333.69. Info: UPI/P2A/015811012184/Md Sajar /State Ban,
1,ham,Your A/c 173702 is credited with Rs. 28 on 06Jun20. Avbl Bal: Rs. 108133.69. Info: UPI/P2A/015809275710/NAGAMALLA/ICICI Ban,
1,ham,Your A/c 173702 is credited with Rs. 35 on 08Jun20. Avbl Bal: Rs. 100082.69. Info: UPI/P2A/016009383451/GOPI NAG/Lakshmi V,
1,ham,Your A/c 173702 is credited with Rs. 5 on 09Jun20. Avbl Bal: Rs. 16401.69. Info: UPI/P2A/016118982663/GOOGLEPAY/Axis Bank,
1,ham,Your A/c 173702 is credited with Rs. 500 on 07Jun20. Avbl Bal: Rs. 10047.69. Info: UPI/P2A/015920300208/POTTAPONG/Canara Ba,
1,ham,Your A/c 173702 is credited with Rs. 9500 on 10Jun20. Avbl Bal: Rs. 22001.69. Info: UPI/P2A/016214581413/PILLOTLA /Bank of I,
1,ham,Your A/c 173702 is credited with Rs. 9900 on 09Jun20. Avbl Bal: Rs. 17396.69. Info: UPI/P2A/016118810591/919020018173702/090,
1,ham,Your A/c 173702 is credited with Rs. 9900 on 09Jun20. Avbl Bal: Rs. 17396.69. Info: UPI/P2A/016118825725/919020018173702/090,
1,ham,Your A/c 173702 is credited with Rs. 9900 on 09Jun20. Avbl Bal: Rs. 17396.69. Info: UPI/P2A/016118862964/919020018173702/090,
1,ham,Your A/c 173702 is debited by Rs. 10000 on 08Jun20. Avbl Bal: Rs. 100047.69. Info: VISA/Axis/ReversalDEP/BCBO MUKTYALA. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 10000 on 12Jun20. Avbl Bal: Rs. 71301.69. Info: VISA/Axis/WDL/BCBO MUKTYALA /PO. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 12500 on 11Jun20. Avbl Bal: Rs. 12501.69. Info: UPI/P2A/016311996074/XXX182863/State Ban. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 2000 on 08Jun20. Avbl Bal: Rs. 2496.69. Info: UPI/P2A/016013607489/XXX005386/Bank of B. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 2000 on 09Jun20. Avbl Bal: Rs. 14401.69. Info: UPI/P2A/016118094087/NAGULAPAL/Andhra Ba. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 7000 on 10Jun20. Avbl Bal: Rs. 15001.69. Info: UPI/P2A/016216232445/SHAIK NGU/Andhra Ba. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited by Rs. 9000 on 13Jun20. Avbl Bal: Rs. 2215.69. Info: UPI/P2A/016511038299/KARUPATI /Bank of B. Call 18605005555 for dispute,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 08-06-2020 11:19:31 A/c Bal:Rs 90082.69 Info: CASH-ATM/CWCW58503/8110.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 11-06-2020 16:10:19 A/c Bal:Rs 132501.69 Info: CASH-ATM/1FDBOM31.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 11-06-2020 16:12:12 A/c Bal:Rs 122501.69 Info: CASH-ATM/1FDBOM31.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 11-06-2020 16:13:44 A/c Bal:Rs 112501.69 Info: CASH-ATM/1FDBOM31.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 11-06-2020 16:15:15 A/c Bal:Rs 102501.69 Info: CASH-ATM/1FDBOM31.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 11-06-2020 16:16:44 A/c Bal:Rs 92501.69 Info: CASH-ATM/1FDBOM31.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 12-06-2020 09:21:07 A/c Bal:Rs 2501.69 Info: CASH-ATM/CWCW58503/9114.Call 18605005555 if txn not done by you.,
1,ham,Your A/c 173702 is debited with Rs 10000.00 on 14-06-2020 11:13:36 A/c Bal:Rs 23215.69 Info: CASH-ATM/CWCW58503/9810.Call 18605005555 if txn not done by you.,
